Naziv_instance	n	K	Q	UB	OPT
X-n376-k94	375	94	4	147713	yes
X-n384-k52	383	52	564	65928	no
X-n393-k38	392	38	78	38260	yes
X-n401-k29	400	29	745	66154	no
X-n411-k19	410	19	216	19712	no
X-n420-k130	419	130	18	107798	yes
X-n429-k61	428	61	536	65449	no
X-n439-k37	438	37	12	36391	yes
X-n449-k29	448	29	777	55233	no
X-n459-k26	458	26	1106	24139	no
X-n469-k138	468	138	256	221824	yes
X-n480-k70	479	70	52	89449	no
X-n491-k59	490	59	428	66483	no
X-n502-k39	501	39	13	69226	no
X-n513-k21	512	21	142	24201	no
X-n524-k153	523	137	125	154593	yes
X-n536-k96	535	96	371	94846	no
X-n548-k50	547	50	11	86700	yes
X-n561-k42	560	42	74	42717	no
X-n573-k30	572	30	210	50673	no
X-n586-k159	585	159	28	190316	no
X-n599-k92	598	92	487	108451	no
X-n613-k62	612	62	523	59535	no
X-n627-k43	626	43	110	62164	no
X-n641-k35	640	35	1381	63682	no
X-n655-k131	654	131	5	106780	yes
X-n670-k130	669	126	129	146332	no
X-n685-k75	684	75	408	68205	no
X-n701-k44	700	44	87	81923	no
X-n716-k35	715	35	1007	43373	no
X-n733-k159	732	159	25	136187	no
X-n749-k98	748	98	396	77269	no
X-n766-k71	765	71	166	114417	no
X-n783-k48	782	48	832	72386	no
X-n801-k40	800	40	20	73305	no
X-n819-k171	818	171	358	158121	no
X-n837-k142	836	142	44	193737	no
X-n856-k95	855	95	9	88965	yes
X-n876-k59	875	59	764	99299	no
X-n895-k37	894	37	1816	53860	no
X-n916-k207	915	207	33	329179	no
X-n936-k151	935	151	138	132715	no
X-n957-k87	956	87	11	85465	no
X-n979-k58	978	58	998	118976	no
X-n1001-k43	1000	43	131	72355	no
